mode,eigenvalue,energy_ratio,cumulative_energy,vector
1,40.784661093147314,0.9986479425449365,0.9986479425449365,"[-0.9999358326671366, -0.006694980155829604, -0.009138259626055781]"
2,0.04657618659508848,0.001140458487776655,0.9997884010327132,"[-0.009128049748098322, 0.9539100826027654, 0.29995371812428295]"
3,0.008641676211194858,0.00021159896728673047,0.9999999999999999,"[-0.006708893804227006, -0.30001788538268614, 0.9539099848488983]"
