mode,real,imag,magnitude,angle
1,0.21236133756484737,0.0,0.21236133756484737,0.0
2,0.9249633022022872,0.0,0.9249633022022872,0.0
3,0.7676336708662949,0.0,0.7676336708662949,0.0
