bucket,progress_next_mean,progress_trend_mean,progress_plateau_mean,world_surprise_mean,c_t_var,self_loss_tail,self_rollout_tail,rollout_nonzero_ratio,rollout_active_ratio,mean_delta_norm
math,0.672607421875,-0.9267578125,0.802734375,11.102611541748047,0.09278054535388947,0.359375,0.0,0.0,1.0,4.5234375
dialogue,0.8513672351837158,0.75,0.5150390863418579,4.7724809646606445,0.25598636269569397,1.18359375,0.650390625,1.0,1.0,1.650390625
emotion,0.8044922351837158,0.021191418170928955,0.6548828482627869,10.950395584106445,1.4259920120239258,1.02734375,0.62890625,0.75,1.0,3.0625
persona_seed,0.7872070074081421,0.770703136920929,0.5145508050918579,1.1491224765777588,0.03687432408332825,1.16015625,0.60546875,1.0,1.0,1.537109375
python_code,0.76708984375,0.18833009898662567,0.67724609375,9.718948364257812,1.5045231580734253,1.0546875,0.69140625,0.75,1.0,3.052734375
arc_agi,0.44921875,-0.9230143427848816,0.8922526240348816,9.054920196533203,0.6473865509033203,0.74609375,0.3203125,0.25,1.0,9.12109375
mixed,0.7698974609375,-0.900390625,0.8037109375,11.128498077392578,0.09025334566831589,0.34375,0.0,0.0,1.0,4.3828125
